8.2500000e+00	1.9600000e+00
6.4200000e+00	2.8600000e+00
1.0970000e+01	2.5000000e+00
7.7200000e+00	3.5900000e+00
1.2750000e+01	2.7400000e+00
9.3000000e+00	2.9400000e+00
1.4890000e+01	3.4400000e+00
1.0770000e+01	2.7400000e+00
1.1690000e+01	3.0400000e+00
1.3160000e+01	2.1300000e+00
4.4600000e+00	2.2800000e+00
1.2880000e+01	2.1100000e+00
2.6190000e+01	2.5000000e+00
9.5100000e+00	2.2000000e+00
1.6070000e+01	2.4900000e+00
2.5270000e+01	2.4500000e+00
1.4670000e+01	3.0300000e+00
7.8800000e+00	1.8000000e+00
1.2760000e+01	2.2700000e+00
5.5300000e+00	2.4100000e+00
4.9800000e+00	2.3900000e+00
7.1600000e+00	2.0300000e+00
6.9300000e+00	2.2500000e+00
5.5700000e+00	2.8400000e+00
6.4400000e+00	1.7400000e+00
9.2500000e+00	2.1400000e+00
5.5900000e+00	2.3000000e+00
1.2210000e+01	1.6900000e+00
1.4820000e+01	2.5600000e+00
3.9000000e+00	2.1000000e+00
4.7600000e+00	2.3500000e+00
5.2700000e+00	2.5200000e+00
4.5200000e+00	2.3200000e+00
5.4800000e+00	2.2500000e+00
4.6800000e+00	2.5600000e+00
3.2700000e+00	1.6400000e+00
6.3300000e+00	2.5800000e+00
1.1230000e+01	1.6900000e+00
1.1560000e+01	2.5200000e+00
2.1040000e+01	2.5400000e+00
6.1800000e+00	2.0100000e+00
1.3420000e+01	2.6200000e+00
9.1300000e+00	2.5700000e+00
2.0000000e+00	2.2500000e+00
4.0600000e+00	2.5100000e+00
2.8910000e+01	2.3100000e+00
1.4720000e+01	2.5700000e+00

